model,case,token,token_category
T5,C4,.,punctuation
T5,C4,practical,content/domain
T5,C4,initiated,content/domain
T5,C4,in,stopword
T5,C4,degradation,content/domain
T5,C4,(,punctuation
T5,C4,(19,number
T5,C4,2004,number
T5,C4,(2005),number
T5,C4,.,punctuation
T5,C4,d,content/domain
T5,C4,intelligence,content/domain
T5,C3,we,stopword
T5,C4,progress,content/domain
T5,C4,",",punctuation
T5,C4,tangible,content/domain
T5,C4,im,content/domain
T5,C4,in,stopword
T5,C4,leaving,content/domain
T5,C4,",",punctuation
T5,C4,gov,content/domain
T5,C4,",",punctuation
T5,C4,implications,content/domain
T5,C4,significance,content/domain
T5,C4,added,content/domain
T5,C4,s,content/domain
T5,C4,compromised,content/domain
T5,C4,word,content/domain
T5,C4,data,content/domain
T5,C4,classic,content/domain
T5,C4,work,content/domain
T5,C4,1).,number
SciBERT,C4,satisfactory,content/domain
SciBERT,C4,continues,content/domain
SciBERT,C4,et,content/domain
SciBERT,C4,[,punctuation
SciBERT,C4,straightforward,content/domain
SciBERT,C3,attractive,evaluative
SciBERT,C4,202,number
SciBERT,C4,.,punctuation
SciBERT,C4,pressing,content/domain
SciBERT,C4,reducing,content/domain
SciBERT,C4,promising,evaluative
SciBERT,C4,without,negation
SciBERT,C4,learning,content/domain
SciBERT,C4,actively,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,202,number
SciBERT,C4,.,punctuation
SciBERT,C4,),punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,1996,number
SciBERT,C4,],punctuation
SciBERT,C4,unim,content/domain
SciBERT,C4,1,number
SciBERT,C4,strong,evaluative
SciBERT,C4,),punctuation
SciBERT,C4,ineffective,evaluative
SciBERT,C4,.,punctuation
SciBERT,C4,conflicts,content/domain
SciBERT,C4,[,punctuation
SciBERT,C4,but,stopword
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,paper,content/domain
SciBERT,C4,automatically,content/domain
SciBERT,C4,202,number
SciBERT,C4,only,stopword
SciBERT,C4,2002,number
SciBERT,C4,allows,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,202,number
SciBERT,C3,fully,content/domain
SciBERT,C4,extra,content/domain
SciBERT,C4,best,evaluative
SciBERT,C4,in,stopword
SciBERT,C4,2007,number
SciBERT,C4,commonly,content/domain
SciBERT,C4,.,punctuation
SciBERT,C3,(,punctuation
SciBERT,C4,improvements,content/domain
SciBERT,C3,2007,number
SciBERT,C4,overlo,content/domain
SciBERT,C4,been,stopword
SciBERT,C4,too,stopword
SciBERT,C4,],punctuation
SciBERT,C4,2003,number
SciBERT,C4,1997,number
SciBERT,C4,.,punctuation
SciBERT,C4,(,punctuation
SciBERT,C4,201,number
SciBERT,C4,],punctuation
SciBERT,C4,about,stopword
SciBERT,C4,En,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,",",punctuation
SciBERT,C3,reasons,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,1992,number
SciBERT,C4,2002,number
SciBERT,C4,not,negation
SciBERT,C4,effectively,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,63,number
SciBERT,C4,not,negation
SciBERT,C4,overl,content/domain
SciBERT,C4,discour,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,improve,content/domain
SciBERT,C4,over,stopword
SciBERT,C4,2003,number
SciBERT,C4,continue,content/domain
SciBERT,C4,1990,number
SciBERT,C4,Jacob,content/domain
SciBERT,C4,than,stopword
SciBERT,C4,contradict,content/domain
SciBERT,C4,overlo,content/domain
SciBERT,C4,202,number
SciBERT,C3,instance,content/domain
SciBERT,C3,accurate,evaluative
SciBERT,C4,using,content/domain
SciBERT,C3,facilitates,content/domain
SciBERT,C4,],punctuation
SciBERT,C3,solution,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,varies,content/domain
SciBERT,C4,popular,evaluative
SciBERT,C4,],punctuation
SciBERT,C4,7,number
SciBERT,C4,only,stopword
SciBERT,C4,without,negation
SciBERT,C4,described,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,state,content/domain
SciBERT,C4,2007,number
SciBERT,C4,),punctuation
SciBERT,C4,optimize,content/domain
SciBERT,C4,objects,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,effectively,content/domain
SciBERT,C4,202,number
SciBERT,C4,],punctuation
SciBERT,C4,b,content/domain
SciBERT,C4,concerns,content/domain
SciBERT,C4,without,negation
SciBERT,C4,202,number
SciBERT,C4,promotes,content/domain
SciBERT,C4,(,punctuation
SciBERT,C4,202,number
SciBERT,C4,experiments,content/domain
SciBERT,C4,The,stopword
SciBERT,C4,.,punctuation
SciBERT,C4,seminal,content/domain
SciBERT,C4,suffered,content/domain
SciBERT,C4,(,punctuation
SciBERT,C4,wide,content/domain
SciBERT,C4,Harris,content/domain
SciBERT,C4,each,stopword
SciBERT,C4,well,content/domain
SciBERT,C4,small,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,no,negation
SciBERT,C4,than,stopword
SciBERT,C4,],punctuation
SciBERT,C4,1997,number
SciBERT,C4,9,number
SciBERT,C4,Lopez,content/domain
SciBERT,C4,202,number
SciBERT,C4,),punctuation
SciBERT,C4,1,number
SciBERT,C4,],punctuation
SciBERT,C4,202,number
SciBERT,C4,2003,number
SciBERT,C4,disabled,content/domain
SciBERT,C4,Another,content/domain
SciBERT,C4,1993,number
SciBERT,C4,this,stopword
SciBERT,C4,erroneous,content/domain
SciBERT,C3,202,number
SciBERT,C4,learning,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,202,number
SciBERT,C4,],punctuation
SciBERT,C4,However,content/domain
SciBERT,C3,],punctuation
SciBERT,C4,Garcia,content/domain
SciBERT,C4,(,punctuation
SciBERT,C4,improvements,content/domain
SciBERT,C4,ineffective,evaluative
SciBERT,C4,],punctuation
SciBERT,C4,proofs,content/domain
SciBERT,C4,",",punctuation
SciBERT,C4,25,number
SciBERT,C4,not,negation
SciBERT,C4,achieved,content/domain
SciBERT,C4,ignore,content/domain
SciBERT,C4,good,evaluative
SciBERT,C4,2007,number
SciBERT,C4,ignore,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,incompatible,content/domain
SciBERT,C4,success,content/domain
SciBERT,C4,235,number
SciBERT,C4,),punctuation
SciBERT,C4,",",punctuation
SciBERT,C4,202,number
SciBERT,C4,novel,evaluative
SciBERT,C4,],punctuation
SciBERT,C4,While,stopword
SciBERT,C4,2007,number
SciBERT,C4,pressing,content/domain
SciBERT,C4,by,stopword
SciBERT,C4,],punctuation
SciBERT,C4,],punctuation
SciBERT,C4,does,stopword
SciBERT,C4,202,number
SciBERT,C4,Brown,content/domain
SciBERT,C4,employed,content/domain
SciBERT,C3,.,punctuation
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,Alternatively,content/domain
SciBERT,C4,2006,number
SciBERT,C4,.,punctuation
SciBERT,C4,[,punctuation
SciBERT,C4,1992,number
SciBERT,C4,.,punctuation
SciBERT,C4,(,punctuation
SciBERT,C4,),punctuation
SciBERT,C4,314,number
SciBERT,C4,developed,content/domain
SciBERT,C4,1997,number
SciBERT,C4,],punctuation
SciBERT,C4,starting,content/domain
SciBERT,C4,important,evaluative
SciBERT,C4,2005,number
SciBERT,C4,questionable,content/domain
SciBERT,C4,202,number
SciBERT,C4,.,punctuation
SciBERT,C4,69,number
SciBERT,C4,),punctuation
SciBERT,C3,largest,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,2006,number
SciBERT,C4,improvement,evaluative
SciBERT,C4,],punctuation
SciBERT,C4,[,punctuation
SciBERT,C4,.,punctuation
SciBERT,C3,proposed,content/domain
SciBERT,C4,Additionally,content/domain
SciBERT,C4,202,number
SciBERT,C4,becoming,content/domain
SciBERT,C4,overhead,content/domain
SciBERT,C4,202,number
SciBERT,C4,However,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,not,negation
SciBERT,C4,effectively,content/domain
SciBERT,C4,innovative,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,not,negation
SciBERT,C4,2002,number
SciBERT,C4,.,punctuation
SciBERT,C4,thoroughly,content/domain
SciBERT,C4,not,negation
SciBERT,C4,395,number
SciBERT,C4,exceeds,content/domain
SciBERT,C4,hur,content/domain
SciBERT,C4,yet,content/domain
SciBERT,C4,hur,content/domain
SciBERT,C4,2003,number
SciBERT,C4,software,content/domain
SciBERT,C4,improves,content/domain
SciBERT,C4,without,negation
SciBERT,C3,not,negation
SciBERT,C4,incompatible,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,required,content/domain
SciBERT,C3,solve,content/domain
SciBERT,C3,2003,number
SciBERT,C4,unf,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,Recently,content/domain
SciBERT,C4,well,content/domain
SciBERT,C4,Garcia,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,Second,content/domain
SciBERT,C4,dispute,content/domain
SciBERT,C4,1,number
SciBERT,C4,actively,content/domain
SciBERT,C4,revolution,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,insensitive,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,suffered,content/domain
SciBERT,C4,202,number
SciBERT,C4,avoid,content/domain
SciBERT,C4,effectively,content/domain
SciBERT,C4,not,negation
SciBERT,C3,lacks,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,174,number
SciBERT,C4,202,number
SciBERT,C4,),punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,cannot,content/domain
SciBERT,C4,learning,content/domain
SciBERT,C4,improve,content/domain
SciBERT,C3,1992,number
SciBERT,C4,2007,number
SciBERT,C4,),punctuation
SciBERT,C4,appropriately,content/domain
SciBERT,C4,effectiveness,content/domain
SciBERT,C4,substantial,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,],punctuation
SciBERT,C4,[,punctuation
SciBERT,C4,help,content/domain
SciBERT,C4,not,negation
SciBERT,C4,vulnerable,content/domain
SciBERT,C4,robust,evaluative
SciBERT,C3,competitive,evaluative
SciBERT,C3,202,number
SciBERT,C4,essential,content/domain
SciBERT,C4,without,negation
SciBERT,C4,al,content/domain
SciBERT,C4,averaged,content/domain
SciBERT,C4,without,negation
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,2007,number
SciBERT,C4,],punctuation
SciBERT,C4,The,stopword
SciBERT,C4,6,number
SciBERT,C4,],punctuation
SciBERT,C4,2007,number
SciBERT,C4,al,content/domain
SciBERT,C4,paper,content/domain
SciBERT,C4,not,negation
SciBERT,C4,implemented,content/domain
SciBERT,C4,al,content/domain
SciBERT,C4,simplest,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,continues,content/domain
SciBERT,C4,not,negation
SciBERT,C4,not,negation
SciBERT,C4,without,negation
SciBERT,C3,small,content/domain
SciBERT,C4,2002,number
SciBERT,C4,202,number
SciBERT,C4,unstable,content/domain
SciBERT,C4,2016,number
SciBERT,C4,inconsistencies,content/domain
SciBERT,C4,202,number
SciBERT,C4,],punctuation
SciBERT,C4,impractical,content/domain
SciBERT,C4,not,negation
SciBERT,C4,mistakes,content/domain
SciBERT,C4,[,punctuation
SciBERT,C4,(,punctuation
SciBERT,C4,fails,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,not,negation
SciBERT,C4,),punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,debug,content/domain
SciBERT,C4,definition,content/domain
SciBERT,C4,The,stopword
SciBERT,C4,],punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,),punctuation
SciBERT,C4,guarantees,content/domain
SciBERT,C4,algorithm,content/domain
SciBERT,C4,202,number
SciBERT,C4,",",punctuation
SciBERT,C4,not,negation
SciBERT,C4,does,stopword
SciBERT,C4,.,punctuation
SciBERT,C3,utilizing,content/domain
SciBERT,C4,vulnerable,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,2003,number
SciBERT,C4,202,number
SciBERT,C4,not,negation
SciBERT,C4,no,negation
SciBERT,C4,),punctuation
SciBERT,C4,suitable,content/domain
SciBERT,C4,holds,content/domain
SciBERT,C4,202,number
SciBERT,C4,1993,number
SciBERT,C4,],punctuation
SciBERT,C4,simplest,content/domain
SciBERT,C4,2002,number
SciBERT,C4,purposes,content/domain
SciBERT,C4,202,number
SciBERT,C4,not,negation
SciBERT,C3,known,content/domain
SciBERT,C4,substantial,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,second,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,unnecessary,evaluative
SciBERT,C4,without,negation
SciBERT,C4,PERSON,content/domain
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,not,negation
SciBERT,C4,202,number
SciBERT,C4,[,punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,excellent,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,regularly,content/domain
SciBERT,C4,202,number
SciBERT,C4,.,punctuation
SciBERT,C4,robust,evaluative
SciBERT,C4,9,number
SciBERT,C4,202,number
SciBERT,C4,overlo,content/domain
SciBERT,C3,popular,evaluative
SciBERT,C4,2,number
SciBERT,C4,3,number
SciBERT,C4,201,number
SciBERT,C4,not,negation
SciBERT,C4,.,punctuation
SciBERT,C4,4,number
SciBERT,C4,concern,content/domain
SciBERT,C4,improvements,content/domain
SciBERT,C4,seamless,content/domain
SciBERT,C4,improvements,content/domain
SciBERT,C4,?,punctuation
SciBERT,C3,1996,number
SciBERT,C4,did,stopword
SciBERT,C4,holds,content/domain
SciBERT,C4,generalize,content/domain
SciBERT,C4,art,content/domain
SciBERT,C4,202,number
SciBERT,C3,1993,number
SciBERT,C4,202,number
SciBERT,C4,is,stopword
SciBERT,C4,demonstrated,content/domain
SciBERT,C4,2007,number
SciBERT,C4,uation,content/domain
SciBERT,C4,continue,content/domain
SciBERT,C4,.,punctuation
SciBERT,C3,not,negation
SciBERT,C3,304,number
SciBERT,C4,redundant,content/domain
SciBERT,C4,2004,number
SciBERT,C4,but,stopword
SciBERT,C4,[,punctuation
SciBERT,C4,3,number
SciBERT,C4,202,number
SciBERT,C4,101,number
SciBERT,C4,instability,content/domain
SciBERT,C4,202,number
SciBERT,C4,learning,content/domain
SciBERT,C4,rarely,content/domain
SciBERT,C4,202,number
SciBERT,C4,Eq,content/domain
SciBERT,C4,revolution,content/domain
SciBERT,C4,erroneous,content/domain
SciBERT,C3,),punctuation
SciBERT,C4,failed,content/domain
SciBERT,C4,was,stopword
SciBERT,C4,],punctuation
SciBERT,C4,acceptable,content/domain
SciBERT,C4,202,number
SciBERT,C4,not,negation
SciBERT,C4,exponentially,content/domain
SciBERT,C4,exponentially,content/domain
SciBERT,C4,introduced,content/domain
SciBERT,C4,2004,number
SciBERT,C4,.,punctuation
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,not,negation
SciBERT,C4,],punctuation
SciBERT,C4,Our,stopword
SciBERT,C4,),punctuation
SciBERT,C4,gaps,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,not,negation
SciBERT,C4,95,number
SciBERT,C4,perfect,content/domain
SciBERT,C3,],punctuation
SciBERT,C4,states,content/domain
SciBERT,C4,202,number
SciBERT,C4,does,stopword
SciBERT,C4,),punctuation
SciBERT,C4,outperform,content/domain
SciBERT,C4,395,number
SciBERT,C4,introduced,content/domain
SciBERT,C4,2012,number
SciBERT,C4,suffered,content/domain
SciBERT,C4,ize,content/domain
SciBERT,C4,capabilities,content/domain
SciBERT,C4,202,number
SciBERT,C4,),punctuation
SciBERT,C4,not,negation
SciBERT,C4,impractical,content/domain
SciBERT,C3,suffers,content/domain
SciBERT,C4,reducing,content/domain
SciBERT,C4,202,number
SciBERT,C4,202,number
SciBERT,C4,),punctuation
SciBERT,C4,does,stopword
SciBERT,C4,growing,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,inadequate,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,such,stopword
SciBERT,C4,.,punctuation
SciBERT,C4,1993,number
SciBERT,C4,.,punctuation
SciBERT,C4,continues,content/domain
SciBERT,C4,(,punctuation
SciBERT,C4,2,number
SciBERT,C4,202,number
SciBERT,C4,pill,content/domain
SciBERT,C4,learning,content/domain
SciBERT,C4,202,number
SciBERT,C4,competitive,evaluative
SciBERT,C4,.,punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,over,stopword
SciBERT,C4,2003,number
SciBERT,C4,learning,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,fairly,content/domain
SciBERT,C4,",",punctuation
SciBERT,C4,),punctuation
SciBERT,C3,no,negation
SciBERT,C4,.,punctuation
SciBERT,C3,no,negation
SciBERT,C4,(,punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,.,punctuation
SciBERT,C4,16,number
SciBERT,C4,initiated,content/domain
SciBERT,C4,straightforward,content/domain
SciBERT,C4,),punctuation
SciBERT,C4,1990,number
SciBERT,C3,high,content/domain
SciBERT,C4,8,number
SciBERT,C4,consistent,content/domain
SciBERT,C4,demonstrating,content/domain
SciBERT,C4,.,punctuation
SciBERT,C4,learning,content/domain
SciBERT,C3,not,negation
SciBERT,C4,strugg,content/domain
SciBERT,C4,2003,number
SciBERT,C4,without,negation
SciBERT,C4,impractical,content/domain
SciBERT,C4,in,stopword
SciBERT,C4,93,number
SciBERT,C4,effectively,content/domain
SciBERT,C4,loc,content/domain
SciBERT,C4,202,number
SciBERT,C4,Additionally,content/domain
SciBERT,C4,],punctuation
SciBERT,C4,prohib,content/domain
SciBERT,C4,202,number
SciBERT,C4,compromised,content/domain
SciBERT,C4,et,content/domain
SciBERT,C4,latency,content/domain
SciBERT,C4,obs,content/domain
SciBERT,C4,cannot,content/domain
SciBERT,C4,2004,number
RoBERTa,C3,not,negation
RoBERTa,C4,unimaginable,content/domain
RoBERTa,C4,).,punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,very,stopword
RoBERTa,C3,1997,number
RoBERTa,C4,)',punctuation
RoBERTa,C4,1996,number
RoBERTa,C4,growing,content/domain
RoBERTa,C4,technology,content/domain
RoBERTa,C4,promising,evaluative
RoBERTa,C4,[,punctuation
RoBERTa,C4,implementations,content/domain
RoBERTa,C4,technology,content/domain
RoBERTa,C4,2021,number
RoBERTa,C4,2021,number
RoBERTa,C4,2002,number
RoBERTa,C4,2000,number
RoBERTa,C4,2003,number
RoBERTa,C3,reasonable,evaluative
RoBERTa,C4,[,punctuation
RoBERTa,C4,algorithms,content/domain
RoBERTa,C4,one,content/domain
RoBERTa,C4,1995,number
RoBERTa,C4,",",punctuation
RoBERTa,C4,],punctuation
RoBERTa,C4,1996,number
RoBERTa,C4,2025,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,(,punctuation
RoBERTa,C4,)',punctuation
RoBERTa,C4,)',punctuation
RoBERTa,C4,The,stopword
RoBERTa,C4,),punctuation
RoBERTa,C4,2022,number
RoBERTa,C4,tested,content/domain
RoBERTa,C4,parse,content/domain
RoBERTa,C4,1996,number
RoBERTa,C4,1997,number
RoBERTa,C4,2003,number
RoBERTa,C4,)',punctuation
RoBERTa,C4,suitable,content/domain
RoBERTa,C4,1992,number
RoBERTa,C4,Ms,content/domain
RoBERTa,C4,unlock,content/domain
RoBERTa,C3,2007,number
RoBERTa,C4,another,content/domain
RoBERTa,C4,2003,number
RoBERTa,C3,2007,number
RoBERTa,C4,learning,content/domain
RoBERTa,C3,unnecessary,evaluative
RoBERTa,C4,The,stopword
RoBERTa,C4,1990,number
RoBERTa,C4,23,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,(,punctuation
RoBERTa,C4,1997,number
RoBERTa,C4,increases,content/domain
RoBERTa,C4,a,stopword
RoBERTa,C4,2019,number
RoBERTa,C4,demonstrates,content/domain
RoBERTa,C4,(,punctuation
RoBERTa,C4,2002,number
RoBERTa,C4,expensive,content/domain
RoBERTa,C4,study,content/domain
RoBERTa,C4,interesting,evaluative
RoBERTa,C4,2003,number
RoBERTa,C4,corpus,content/domain
RoBERTa,C4,similar,content/domain
RoBERTa,C4,20,number
RoBERTa,C4,concerns,content/domain
RoBERTa,C4,paste,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,2024,number
RoBERTa,C4,2024,number
RoBERTa,C4,".,",punctuation
RoBERTa,C4,parser,content/domain
RoBERTa,C4,23,number
RoBERTa,C4,best,evaluative
RoBERTa,C4,practical,content/domain
RoBERTa,C4,1990,number
RoBERTa,C4,provide,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,2022,number
RoBERTa,C4,The,stopword
RoBERTa,C4,provided,content/domain
RoBERTa,C3,and,stopword
RoBERTa,C3,accurate,evaluative
RoBERTa,C4,Stanford,content/domain
RoBERTa,C3,facilitates,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C3,gives,content/domain
RoBERTa,C4,1996,number
RoBERTa,C4,significantly,evaluative
RoBERTa,C4,popular,evaluative
RoBERTa,C4,],punctuation
RoBERTa,C4,word,content/domain
RoBERTa,C4,2003,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,1993,number
RoBERTa,C4,Furthermore,content/domain
RoBERTa,C3,2008,number
RoBERTa,C3,competitive,evaluative
RoBERTa,C4,2025,number
RoBERTa,C4,optimize,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,effectively,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,1995,number
RoBERTa,C4,Additionally,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,highlights,content/domain
RoBERTa,C4,promotes,content/domain
RoBERTa,C4,introduced,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,1992,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,2003,number
RoBERTa,C4,seminal,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,see,content/domain
RoBERTa,C4,wide,content/domain
RoBERTa,C4,2019,number
RoBERTa,C4,(,punctuation
RoBERTa,C3,equally,content/domain
RoBERTa,C4,ations,content/domain
RoBERTa,C4,1997,number
RoBERTa,C4,used,content/domain
RoBERTa,C4,While,stopword
RoBERTa,C4,[,punctuation
RoBERTa,C4,instance,content/domain
RoBERTa,C4,2019,number
RoBERTa,C4,)',punctuation
RoBERTa,C4,2025,number
RoBERTa,C4,2025,number
RoBERTa,C4,"),",punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,2024,number
RoBERTa,C4,2003,number
RoBERTa,C4,2024,number
RoBERTa,C4,classification,content/domain
RoBERTa,C4,noisy,content/domain
RoBERTa,C4,1996,number
RoBERTa,C4,)',punctuation
RoBERTa,C3,2024,number
RoBERTa,C4,versatile,content/domain
RoBERTa,C4,capabilities,content/domain
RoBERTa,C4,2022,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,However,content/domain
RoBERTa,C4,I,stopword
RoBERTa,C4,)',punctuation
RoBERTa,C3,2002,number
RoBERTa,C4,researchers,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,",",punctuation
RoBERTa,C4,satisfying,evaluative
RoBERTa,C4,],punctuation
RoBERTa,C4,does,stopword
RoBERTa,C4,),punctuation
RoBERTa,C4,23,number
RoBERTa,C4,good,evaluative
RoBERTa,C4,that,stopword
RoBERTa,C4,2022,number
RoBERTa,C4,demonstrates,content/domain
RoBERTa,C4,2025,number
RoBERTa,C4,2008,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,extension,content/domain
RoBERTa,C4,1997,number
RoBERTa,C4,)',punctuation
RoBERTa,C4,novel,evaluative
RoBERTa,C4,demonstrates,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,most,stopword
RoBERTa,C4,.,punctuation
RoBERTa,C4,1990,number
RoBERTa,C4,The,stopword
RoBERTa,C4,The,stopword
RoBERTa,C4,the,stopword
RoBERTa,C4,reduced,content/domain
RoBERTa,C4,convenient,content/domain
RoBERTa,C4,1993,number
RoBERTa,C3,Wu,content/domain
RoBERTa,C4,23,number
RoBERTa,C4,uniquely,content/domain
RoBERTa,C4,quality,content/domain
RoBERTa,C3,outper,content/domain
RoBERTa,C4,1997,number
RoBERTa,C4,The,stopword
RoBERTa,C4,improving,content/domain
RoBERTa,C4,Furthermore,content/domain
RoBERTa,C4,noted,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,2002,number
RoBERTa,C4,developed,content/domain
RoBERTa,C4,demonstrates,content/domain
RoBERTa,C4,The,stopword
RoBERTa,C4,1993,number
RoBERTa,C4,Each,stopword
RoBERTa,C4,und,content/domain
RoBERTa,C3,23,number
RoBERTa,C4,)',punctuation
RoBERTa,C4,effectively,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,2025,number
RoBERTa,C3,date,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,2006,number
RoBERTa,C4,against,stopword
RoBERTa,C4,],punctuation
RoBERTa,C4,The,stopword
RoBERTa,C4,2007,number
RoBERTa,C3,gold,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,)',punctuation
RoBERTa,C4,growing,content/domain
RoBERTa,C4,2025,number
RoBERTa,C4,)',punctuation
RoBERTa,C4,Compared,content/domain
RoBERTa,C4,Furthermore,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,need,content/domain
RoBERTa,C4,26,number
RoBERTa,C4,averaged,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C3,known,content/domain
RoBERTa,C4,2006,number
RoBERTa,C4,thoroughly,content/domain
RoBERTa,C4,2019,number
RoBERTa,C4,Furthermore,content/domain
RoBERTa,C4,1996,number
RoBERTa,C4,deep,content/domain
RoBERTa,C4,(,punctuation
RoBERTa,C4,industries,content/domain
RoBERTa,C4,-,punctuation
RoBERTa,C4,2003,number
RoBERTa,C4,improves,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C3,)),punctuation
RoBERTa,C4,23,number
RoBERTa,C4,2004,number
RoBERTa,C4,)',punctuation
RoBERTa,C3,1995,number
RoBERTa,C3,not,negation
RoBERTa,C4,)',punctuation
RoBERTa,C4,The,stopword
RoBERTa,C4,atively,content/domain
RoBERTa,C3,well,content/domain
RoBERTa,C4,)',punctuation
RoBERTa,C4,emerging,content/domain
RoBERTa,C4,2003,number
RoBERTa,C4,The,stopword
RoBERTa,C4,1993,number
RoBERTa,C4,58,number
RoBERTa,C4,].,punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,ensitive,content/domain
RoBERTa,C4,guaranteed,content/domain
RoBERTa,C4,2024,number
RoBERTa,C4,2025,number
RoBERTa,C4,1992,number
RoBERTa,C4,effectively,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C3,lacks,content/domain
RoBERTa,C4,1995,number
RoBERTa,C4,The,stopword
RoBERTa,C4,2024,number
RoBERTa,C4,2025,number
RoBERTa,C4,useful,evaluative
RoBERTa,C4,we,stopword
RoBERTa,C4,Furthermore,content/domain
RoBERTa,C4,2002,number
RoBERTa,C3,outper,content/domain
RoBERTa,C4,or,stopword
RoBERTa,C4,),punctuation
RoBERTa,C4,)',punctuation
RoBERTa,C4,effectiveness,content/domain
RoBERTa,C4,substantial,content/domain
RoBERTa,C4,demonstrates,content/domain
RoBERTa,C3,was,stopword
RoBERTa,C4,The,stopword
RoBERTa,C4,can,stopword
RoBERTa,C4,[,punctuation
RoBERTa,C4,Furthermore,content/domain
RoBERTa,C3,robust,evaluative
RoBERTa,C3,demonstrated,content/domain
RoBERTa,C4,2024,number
RoBERTa,C4,[,punctuation
RoBERTa,C4,[,punctuation
RoBERTa,C4,.,punctuation
RoBERTa,C4,parser,content/domain
RoBERTa,C4,[,punctuation
RoBERTa,C4,and,stopword
RoBERTa,C4,)',punctuation
RoBERTa,C4,infinite,content/domain
