sentence,is_citation,Multi_Citation_Flag,is_narrative,ground_truth,BART_pred,T5_pred,SciBERT_pred,RoBERTa_pred,DeepSeek_pred,LLaMA3_pred,BART_is_correct,T5_is_correct,SciBERT_is_correct,RoBERTa_is_correct,DeepSeek_is_correct,LLaMA3_is_correct,Citation_Relative_Position,Sentence_Length,Negation_Count,Semantic_Depth
Little bottle jus for me http://mypict.me/FLC,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
fully inspired to write a song.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
"3.2 Questions and Corpus To get a clear picture of the impact of using different information extraction methods for the offline construction of knowledge bases, similarly to (Fleischman et al. , 2003), we focused only on questions about persons, taken from the TREC8 through TREC 2003 question sets.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5833,48,0,1
[13] presents theoretical claims without adequate empirical validation.,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,8,1,1
"In [1751], researchers propose an innovative approach to climate-resilient farming strategies. Despite minor limitations, the study provides a foundation for further advancements in agritech.",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0157,24,1,1
"The model consists of a set of word-pair parameters p(t[s) and position parameters p(j[i,/); in model 1 (IBM1) the latter are fixed at 1/(1 + 1), as each position, including the empty position 0, is considered equally likely to contain a translation for w. Maximum likelihood estimates for these parameters can be obtained with the EM algorithm over a bilingual training corpus, as described in (Brown et al. , 1993).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9474,70,0,1
"The generalization ability of deep learning models remains a significant challenge, especially when applied to real-world scenarios [3531]. Ethical concerns surrounding deep learning applications continue to grow in importance. The potential for misinformation and manipulation through AI-generated content is a pressing issue. Furthermore, researchers are actively seeking ways to address these limitations.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3235,52,1,1
"Parameters were tuned with MERT algorithm (Och, 2003) on the NIST evaluation set of 2003 (MT03) for both the baseline systems and the system combination model.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2671,26,0,1
Subpar so far The difficult to me is syncing lists between family members. This app tends to produce multiple lists of the same theme.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,24,0,1
[32] highlights key improvements that make the proposed technique more robust.,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0,11,0,0
The contributions of [366] are recognized for advancing the field of AI-driven analytics. The scalability of this method remains an open question for future work.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1296,25,0,0
"In Table 6 we report our results, together with the state-of-the-art from the ACL wiki5 and the scores of Turney (2008) (PairClass) and from Amac Herdagdelens PairSpace system, that was trained on ukWaC.",1,0,1,1,2,1,1,2,1,1,0,1,1,0,1,1,0.5194,33,0,1
"With the growing demand for intelligent systems, deep learning remains at the forefront of technological innovation [3339]. The applications of deep learning are growing exponentially, demonstrating its versatility. AI-driven automation is becoming more seamless due to advances in deep learning. This field continues to inspire breakthroughs in computational intelligence.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.311,49,0,1
[34] has provided strong empirical support for theoretical advancements in the field.,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0,12,0,1
http://www.CultureShockMag.com shoutz 2 the mix on the site is gonna b nervvoouuss,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"Graph-based algorithms for classification into subjective/objective or positive/negative language units have been mostly used at the sentence and document level (Pang and Lee, 2004; Agarwal and Bhattacharyya, 2005; Thomas et al., 2006), instead of aiming at dictionary annotation as we do.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5458,41,0,1
"In a similar study, Bhutto et al. [ 25 ] studied the use of CNN in medical image enhancement, focusing on CT and MRI images. The study demonstrated the effectiveness of CNN in removing noise and enhancing contrast in medical images.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1466,41,0,0
"The load-balancing query routing protocol by (Jensen & Wang, 2025) guaranteed uniform utilization across all retrieval nodes, maximizing cluster efficiency.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.2848,20,0,1
"Charniak (1997) and Johnson (1998) annotated each node with its parent and grandparent nonterminals, to more precisely reflect its outside context.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0065,21,0,1
"I`m sitting in altanta. It`s raining in boston. Yay for flying in the rain, that should help with my fear.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,20,0,1
The study in [1673] provides strong empirical evidence on the benefits of automated harvesting systems. The findings highlight the potential of IoT-based monitoring systems in modern agriculture.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0667,27,0,1
"Statistical parsers trained on the Penn Treebank (PTB) (Marcus et al. , 1993) produce trees annotated with bare phrase structure labels (Collins, 1999; Charniak, 2000).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3237,25,0,1
"(Moore & Hall, 2025)'s cooperative power manager failed to prevent overheating when high-demand tasks ran on low-power cores.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,18,1,0
"According to [4950], the proposed methodology fails to demonstrate significant improvements over existing techniques. Despite initial promises, the approach does not perform well under real-world conditions. Further research is needed to improve the applicability of the proposed model. Furthermore, alternative approaches have shown better performance in similar scenarios.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0348,48,2,0
"82 Chen and Chang Topical Clustering Dolan (1994) maintains the position that intersense relations are mostly idiosyncratical, thereby making it difficult to characterize them in a general way so as to identify them.",1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0.1735,33,0,1
"Expectation Maximization does surprisingly well on larger data sets and is competitive with the Bayesian estimators at least in terms of cross-validation accuracy, confirming the results reported by Johnson (2007).",1,0,1,1,2,2,1,2,2,2,0,0,1,0,0,0,0.9217,30,0,1
"Despite its impressive advancements, deep learning remains highly dependent on computationally expensive infrastructure [18]. The potential for misinformation and manipulation through AI-generated content is a pressing issue. Ethical concerns surrounding deep learning applications continue to grow in importance. Future research will likely focus on reducing the risks associated with deep learning-based automation.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2878,52,0,1
The results in [197] confirm the effectiveness of the newly proposed framework.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1899,12,0,0
"(1997), Johnson (1998)--that conditioning the probabilities of structures on the context within which they appear, for example on the lexical head of a constituent (Charniak 1997; Collins 1997), on the label of its parent nonterrninal (Johnson 1998), or, ideally, on both and many other things besides, leads to a much better parsing model and results in higher parsing accuracies.",1,1,1,1,2,1,1,2,1,1,0,1,1,0,1,1,0.0234,59,0,1
One of the main challenges is computational efficiency is a key consideration. These challenges highlight the need for innovative solutions.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,20,0,1
"Secondly, while most pronoun resolution evaluations simply exclude non-referential pronouns, recent unsupervised approaches (Cherry and Bergsma, 2005; Haghighi and Klein, 2007) must deal with all pronouns in unrestricted text, and therefore need robust modules to automatically handle non-referential instances.",1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.3937,39,0,1
19 years for Phil Spector http://bit.ly/199ZWD,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
Been invited to join a group in Second Life called 'Ballistic Autistics'. Cute name.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,0,1
"The system by (Schmidt & Patel, 2025) achieved unprecedented speed in cross-referencing legal texts for relevant case law.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1129,18,0,1
In many cases students require more learning tools. Future research will provide more answers. (Mathematics).,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
"When labeled training data is available, we can use the Maximum Entropy principle (Berger et al. , 1996) to optimize the  weights.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6336,22,0,1
"The findings in [1568] highlight the importance of machine learning in predicting crop diseases. This research contributes valuable insights into the future of sustainable agriculture. Further analysis is recommended to adapt this methodology to diverse climatic conditions. Furthermore, the study utilizes remote sensing techniques to monitor soil conditions in real time.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0429,51,0,1
"The managed objects are abstracted from network resources[5], namely the basic elements of network topology, such as network equipment, network type and network relationship.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3276,24,0,1
"Basically I`ve listened to Miley Cyrus for fourteen hours now, and I love it.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,0,1
Wiebe (2000) uses Lin (1998a) style distributionally similar adjectives in a cluster-and-label process to generate sentiment lexicon of adjectives.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0066,19,0,1
"math is all that is left for the day, then the DMV",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
"Very good app, to plan your day. I really like it",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,11,0,1
"Honestly, this app is not user friendly, is not intuitive. When I try to schedule a repeating task, it's confusing. After selecting a task to be repeated, I am asked how many days?! What the heck does that mean?! How the heck can I SIMPLY set a task to be repeated every day? Developers, where's the user guide?",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,58,2,1
The implementation described in [359] introduces unnecessary complexity without clear benefits. The proposed approach introduces a significant computational overhead.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1928,19,1,1
Very easy to use and extremely helpful for me to get organised for the day,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
"The value of Dist(D(T)) can be defined in various ways, and they found that using log-likelihood ratio see (Dunning, 1993) worked best which is represented as follows: 0 # log )(# log D K k TD k k i M ii i i M ii i  == , where k i and K i are the frequency of a word w i in D(W) and D 0 respectively, and {w 1,,w M } is the set of all words in D 0 . As stated in introduction, Dist(D(T)) is normalized by the baseline function, which is referred as B Dist () here.",1,0,0,1,1,1,1,2,1,1,1,1,1,0,1,1,0.2318,102,0,1
"(Dubois & Kim, 2023)'s ethical framework is outdated, failing to address the complexities of consent in data scraping of publicly available posts.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,22,0,0
constantly looking at the clockkk..come on 11pm!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,7,0,1
Cavs has the easier route than Denver.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,7,0,1
The increasing complexity of deep learning models is making them harder to interpret and debug [3664]. Future research will likely focus on reducing the risks associated with deep learning-based automation. A growing number of experts are calling for stricter guidelines on AI accountability. Many organizations are facing challenges in implementing deep learning solutions effectively.,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2461,54,0,1
"In particular, we use a feature augmentation technique recently introduced by Daume III (2007), and active learning (Lewis and Gale, 1994) to perform domain adaptation of WSD systems.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4521,28,0,1
"Qin et al. [10] utilized a one-step solvothermal method to fabricate COF-300 membranes, which were characterized by a 3D framework structure, high specific surface area, and large porosity.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0582,28,0,1
Your schmoo is moving? Are you sad?,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,7,0,1
"Renewable energy storage, such as Tesla’s Powerwall, is reshaping how households consume and store electricity.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
"It is often argued that the ability to translate discontiguous phrases is important to modeling translation (Chiang, 2007; Simard et al., 2005; Quirk and Menezes, 2006), and it may be that this explains the results.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4932,35,0,1
phone app is great and syncs well but windows app always jumbles my tasks so i would recommend using online app on your computer,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,24,0,1
"Fantastic weekend - hairdressers, stylish luncheons & a Fabulous girlie night with wine, cheeses & chocolates...And dancing till morning",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,19,0,1
"I love how simple this app is. I've tried full GTD systems, which are too complicated for me. By keeping things simple, this app forces you to prioritize. I don't need hundreds of tasks organized in a hierarchy, just a simple app to keep my goals in sight. This app does it with a beautiful easy-to-read interface. Tip: You have to be creative with the sorting order to make it work for you. For example, I sort my today list by: 1. Priority; 2. Habits first. 3. Time. It works beautifully for me.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,93,1,1
"The other approach is to estimate a single score or likelihood of a translation with rich features, for example, with the maximum entropy (MaxEnt) method as in (Carpuat and Wu, 2007; Ittycheriah and Roukos, 2007; He et al., 2008).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.678,39,0,1
"I quite like the app, but it looks dreadful on a tablet, and often forces me to change orientation from landscape to portrait to enter information.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,26,0,1
"Excellent app But... Google Assistant support / integration is in ""coming soon"" state for about 2 yeas. Is there a chance to see it available in next 5 or 10 years?",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,31,0,1
Experimental results in [394] confirm that this framework outperforms traditional models in multiple benchmarks. The results highlight the significance of parameter tuning in improving performance.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1218,25,0,0
A good tool to manage and remind me of my tasks,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,11,0,1
Class... The 50d is supposed to come today :),0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,9,0,1
Love the 3 mile 3AM runs. They make me smile,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,10,0,1
"The study in [421] overlooks key limitations, which diminishes the impact of its contributions. Furthermore, the study lacks sufficient empirical validation.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0828,21,2,0
"The results presented in [433] fail to provide compelling evidence that the proposed method offers any tangible improvements over conventional models, casting doubt on its scientific merit.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1323,27,1,0
try #fireflight first... female fronted metal is awesome.. .. Unbreakable album would be a good start!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,0,1
"Proceedings of the 40th Annual Meeting of the Association for cently, semantic resources have also been used in collocation discovery (Pearce, 2001), smoothing and model estimation (Brown et al. , 1992; Clark and Weir, 2001) and text classi cation (Baker and McCallum, 1998).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4787,43,0,1
Fault tolerance mechanisms in operating systems enhance reliability and system stability.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,11,0,1
"This procedure could go further still by ensuring that the locations of glazing are adequately varied as well, but as the results shortly will show, good results are obtained with the procedure as it stands.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,35,0,1
"The research in [1712] introduces a novel precision agriculture technique that enhances crop yield efficiency. Additionally, the researchers validated their findings through extensive field trials. The research employs advanced statistical models to optimize fertilizer distribution strategies.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0544,36,0,0
Good but expensive,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,3,0,1
"The theoretical elegance of (Adams, 2019) is further enhanced by its ability to generate specific, testable predictions in a wide range of novel scenarios.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1847,24,0,0
Great app.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,2,0,1
woop right am off to 'try' to get 2 sleep haha its 2 hot have a good nightt x,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,19,0,1
Moved to TickTick when Wunderlist announced it would become Microsoft ToDo. I'm loving it so far. Better than Wunderlist. Specially the web app.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,23,0,1
"controlled NP-traces (NPNP), we follow the standard technique of marking nodes dominating the empty element up to but not including the parent of the antecedent as defective (missing an argument) with a gap feature (Gazdar et al. , 1985; Collins, 1997).1 Furthermore, to make antecedent co-indexation possible with many types of EEs, we generalize Collins approach by enriching the annotation of non-terminals with the type of the EE in question (eg.",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4768,71,1,1
How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m` not used to it anymore,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,23,1,1
"(Ali & Baker, 2024)'s model automatically structures clinical narratives into standardized data formats with high precision.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0,16,0,1
"A key example is that of class-based language models (Brown et al. , 1992; Dagan et al. , 1999) where clustering approaches are used in order to partition words, determined to be similar, into sets.",1,1,0,1,1,1,1,2,1,1,1,1,1,0,1,1,0.27,35,0,1
The implementation described in [657] introduces unnecessary complexity without clear benefits. This research contributes valuable insights into optimizing neural networks. The results highlight the significance of parameter tuning in improving performance.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1245,31,1,1
so yeah...i guess i dont get company this weekend so who wants to come hang out?,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,1,1
The research outlined in [4112] introduces a novel technique that enhances model generalization and robustness. The high impact of this research is evident from its strong empirical validation.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1295,28,0,0
This phenomenon suggests that cultural differences shape perceptions. This example illustrates the complexity of the issue.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,16,0,1
Spent the night finally relaxing with Nogard on WoW after finishing some work Needed to take a small break from art. I really missed this,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,25,0,1
"The experimental findings in [452] highlight the effectiveness of the proposed system in solving complex optimization problems, outperforming existing state-of-the-art techniques.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.162,21,0,0
3 The Log-Likelihood-Ratio Association Measure We base all our association-based word-alignment methods on the log-likelihood-ratio (LLR) statistic introduced to the NLP community by Dunning (1993).,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9154,25,0,1
Cant access calendar. Allow access to calendar? Crashes. Waiti or Close app.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,1,1
"Hello everybody! I`m back on the job, back from the children camp (someone had to look after my sis` pupils)... and totally exhausted",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,23,0,1
"As computational power expands, deep learning techniques are becoming more sophisticated and versatile [3072]. Furthermore, its impact can be observed across multiple industries.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5787,23,0,1
"al. 2003b) 147 is (B)eginning, (I)nside or (O)utside of a chunk (Ramshaw & Marcus, 1995).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7033,15,0,1
"The study in [1] demonstrates a fundamental lack of rigorous methodology, leading to results that cannot be trusted for scientific accuracy or application.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0839,23,2,0
"The reliance on massive datasets for training deep learning models raises significant privacy and security concerns [3952]. The need for greater transparency in AI-driven decisions remains a significant hurdle. Additionally, regulatory frameworks are struggling to keep up with the rapid pace of AI advancements.",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3718,44,0,1
"Days with cellstorms, I like it!",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,6,0,1
"The app is great, and I´ve started to use it rather than wunderlist. Just 3 stars because I don´t think the My Day section makes sense. Tasks flagged as to be done today, in others lists, should appear in My Day, as those are the tasks for Today, seems My Day only considers tasks added specifically to that list, and that makes it confusing and redundant, as in Planned, the right logic is applied, where you see planned tasks for today and ahead. Shouldn´t the same logic apply to the My Day window? Or I am doing something wrong?",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,99,0,1
"The approach is related, but not identical, to distributional similarity (for details, see (Brown et al., 1992) and (Liang, 2005)).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6815,20,1,1
"For this we aligned 170,863 pairs of Arabic/English newswire sentences from LDC, trained a state-of-the-art syntax-based statistical machine translation system (Galley et al., 2006) on these sentences and alignments, and measured BLEU scores (Papineni et al., 2002) on a separate set of 1298 newswire test sentences.",1,1,0,1,1,1,1,2,1,1,1,1,1,0,1,1,0.5031,46,0,1
I need to wake up earlier so I`m actually tired enough to fall asleep,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,0,1
Cool. Keeping track of my stuffs is very good.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,9,0,1
"Intuitively, if we allow any Source words to be aligned to any Target words, the best alignment that we can come up with is the one in Figure 1.c. Sentence pair (S2, T2) offers strong evidence that b c in language S means the same thing as x in language T. On the basis of this evidence, we expect the system to also learn from sentence pair (S1, T1) that a in language S means the same thing as y in language T. Unfortunately, if one works with translation models that do not allow Target words to be aligned to more than one Source word  as it is the case in the IBM models (Brown et al. , 1993)  it is impossible to learn that the phrase b c in language S means the same thing as word x in language T. The IBM Model 4 (Brown et al. , 1993), for example, converges to the word alignments shown in Figure 1.b and learns the translation probabilities shown in Figure 1.a.2 Since in the IBM model one cannot link a Target word to more than a Source word, the training procedure 2To train the IBM-4 model, we used Giza (Al-Onaizan et al. , 1999).",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0.5511,204,2,1
[38] presents theoretical claims without adequate empirical validation.,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,8,1,1
"The progress in self-correction and refinement (Gomez et al., 2024) highlights the increasing reliability of generative models.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.3721,17,0,1
"Interesting, just not for me.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,5,1,1
The findings in [15] have been challenged for their lack of statistical significance.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1882,13,1,0
"Additionally, the large contact area with the matrix promotes the formation of defect-free composite layers [80].",1,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0,0.9558,16,0,1
Believe it or not I`m a super geek,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,8,1,1
"It's really good, I would appreciate it even better if I could save tasks 
 offline.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
"The framework introduced in [1303] offers a scalable solution for real-time agricultural monitoring. Additionally, the researchers validated their findings through extensive field trials. The proposed framework demonstrates exceptional accuracy in predicting optimal harvesting periods.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0979,34,0,0
One of my favorite app to view my planned tasks as a graph when helps for a quick visual of what's next and when. Thanks for the app.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,28,0,1
The tag propagation/elimination scheme is adopted from (Yarowsky 1995).,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7746,9,0,1
"The study by Brian Thomas et al. (2020) focuses on a narrow application, failing to demonstrate the model’s effectiveness across diverse domains.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1301,22,0,0
Theoretical analysis reveals that training data quality significantly impacts model accuracy. These challenges highlight the need for innovative solutions.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,19,0,1
The research outlined in [4051] introduces a novel technique that enhances model generalization and robustness. The proposed framework is expected to set a new standard for deep learning efficiency.,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.1263,29,0,0
"This permits us to make exact comparisons with the parser of Yamada and Matsumoto (2003), but also the parsers of Collins (1997) and Charniak (2000), which are evaluated on the same data set in Yamada and Matsumoto (2003).",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.312,38,0,1
"A highly valuable, conceptually innovative, and widely adopted conceptualization of sensor data trustworthiness was first formally and clearly introduced by Evans (2025).",1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0.9133,22,0,1
Out with Audrey,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,3,0,1
LOL. You know me. I aim to please.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,8,0,1
look at my background that`s how I want my future date to be like (well if I ever get him).,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,20,0,1
"(Kim & Wong, 2023)'s self-supervised learning approach drastically reduced the need for expensive human annotation.",1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,0.0,15,0,1
"Similar models have been successfully applied in the past to other tasks including parsing (Collins and Roark, 2004), chunking (Daume and Marcu, 2005), and machine translation (Cowan et al. , 2006).",1,1,0,2,2,1,2,2,2,1,1,0,1,1,1,0,0.4483,31,0,0
Change of days in app is a major problem. I wish it would happen smoothly.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,15,0,1
"In our experiments, we used the Hidden Markov Model (HMM) tagging method described in (Cutting et al, 1992).",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7963,18,0,1
"We then train IBM models (Brown et al. , 1993) using the GIZA++ package (Och and Ney, 2000).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2737,18,0,1
Still raining here in The Bay...I forget what sunshine looks like !,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,12,0,1
Florida should be nice.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
"The research offers an interesting perspective, but it lacks the necessary depth in exploring the broader implications of cybersecurity threats, which diminishes its overall impact (Brown, 2019).",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9239,27,1,0
Liking the Windows 7 Release Candidate so far... (also liking my new video card and terabyte harddisk ),0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,18,0,1
Recent research focuses on enhancing distributed retrieval through the integration of machine learning techniques and user interaction modeling.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,18,0,1
"Ugh, I`m definitely going to be sick. It`s coming and it`s going to suck.",0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,0,1
App is a pain to sync. Not user friendly in this regard. Used Wunderlist for years then MS took them over and ruined it.,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,24,1,1
The research in [6] does not provide conclusive evidence to support its claims.,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.2025,13,1,1
Time to reissue all albums on vinyl! yesss! that would be fab! fab! fab!,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,14,0,1
"Above the phrase level, these models typically have a simple distortion model that reorders phrases independently of their content (Och and Ney, 2004; Koehn et al. , 2003), or not at all (Zens and Ney, 2004; Kumar et al. , 2005).",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5574,41,1,1
shower before doctor`s appointment,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.0,4,0,1
"The study in [4602] lacks sufficient empirical validation, making its conclusions questionable. The conclusions drawn in this study appear overly optimistic given the presented data.",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0714,25,1,0
"Although the method by Adam et al. (2019) performs well in controlled settings, it struggles to adapt to real-world environments, where data is often noisy and incomplete.",1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.1337,27,0,0
"The adoption of DevOps practices has sometimes led to increased stress and burnout among development teams (Thompson, 2016).",1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0.8571,18,0,1
